# ra                   dec                  source_id            l                    b                     parallax             parallax_error         pmra                    pmra_error             pmdec                 pmdec_error            ra_dec_corr    ra_parallax_corr   ra_pmra_corr    ra_pmdec_corr   dec_parallax_corr   dec_pmra_corr   dec_pmdec_corr   parallax_pmra_corr   parallax_pmdec_corr   pmra_pmdec_corr   phot_g_n_obs   phot_g_mean_mag   g           bp_rp          proba  
  39.51674050919164    42.414634180988195   340062767332340224   143.1136392672792    -16.240184595980395   1.8552011982142176   0.07111657895099922    1.1571641755872297      0.11385552429141034    -5.922088078859755    0.08032746302557373    -0.30888498    0.6090198          -0.21559022     0.16640738      -0.2815003          0.09010152      -0.015593736     0.08487583           0.20049839            0.014683498       134            15.669477         15.669477   1.5695353      1.0    
  39.29458440184884    42.301068228443356   340049401394151552   143.00701012116187   -16.411576416970178   1.6098178601570843   0.055823679543120265   1.257102752809255       0.09243455511512948    -5.14207289689133     0.07025510538321621    -0.29307202    0.41611725         -0.4131549      0.079585716     -0.51326597         -0.09013573     -0.30984005      0.28100774           0.32903874            0.267345          157            15.090857         15.090857   1.3216505      0.7    
  39.83178990409735    42.40305160705595    340059876816928896   143.33872789531893   -16.153455188778004   1.93265394153422     0.20670814577964078    0.779316272766964       0.38941865058546266    -6.3185932788135      0.26272648633482076    -0.40399003    0.6298931          0.37285414      0.0011323321    -0.36848256         -0.11446458     0.24643244       -0.009898021         0.13656631            -0.14404723       124            17.308666         17.308666   2.165924       0.6    
  39.522002675013205   42.30119958305897    340037989663074176   143.1664901114663    -16.34171839180481    1.9459533283871941   0.06180758099705333    0.48142932194692967     0.09173862107990738    -5.778641922172344    0.07160790455918946    -0.22023079    0.6581662          -0.25527182     0.08369951      -0.2467028          0.17505915      0.10468766       -0.028294943         0.009998494           0.13608697        121            11.949746         11.949746   0.62441635     1.0    
  39.71382413261331    42.65401355595686    340072113181108096   143.14712156725503   -15.96205157654955    1.8358974571557383   0.09487918325755705    0.6217331856552779      0.11874913154444836    -6.029029882625771    0.1195156707398089     -0.3388041     0.6943293          -0.1608599      0.17748876      -0.28975338         0.053212676     0.006755291      0.023646507          0.24250504            -0.034179546      131            16.325243         16.325243   2.0398664      1.0    
  40.02889764345844    42.6522567744893     340162681155806336   143.3665324911542    -15.866246353138385   2.0162921037912738   0.20789307722203232    1.0247520906270393      0.27269135827611196    -5.788707451829692    0.35363686609908634    -0.5325297     0.65467644         -0.38449934     0.080454625     -0.55493534         0.3140543       -0.054628424     -0.199246            -0.18326052           0.16208269        140            17.604973         17.604973   2.1252098      0.8    
  38.98720696868244    42.9194089665728     340149315216959360   142.5280289211447    -15.940508843468303   1.9345347427234727   0.15163990102248587    0.5903114090135266      0.18284582783750838    -5.307048369797664    0.18443631838170657    -0.37696928    0.6327761          -0.08816061     0.06385895      -0.60038424         -0.069876134    -0.009124079     0.12305713           0.18270905            0.231705          151            17.112833         17.112833   2.111988       1.0    
  39.95576582761871    43.18878519178318    340190997874838784   143.0812766784242    -15.402274180530972   2.0267716673758494   0.06989340697520378    0.7524946332132283      0.10984231029145453    -5.6469044511878215   0.0831396772084559     -0.24129918    0.497753           -0.27930695     0.047572814     -0.47630775         -0.07776577     -0.14847463      0.22960183           0.22958086            0.32005376        118            12.689103         12.689103   0.7968521      1.0    
  39.81756079562879    42.631630986462824   340072353699277312   143.2289400081917    -15.950411529475035   2.060181247002502    0.055087631405848055   0.7434904196791341      0.07303677325048424    -5.848874063396719    0.06995946742238827    -0.43201563    0.69822955         -0.32316154     0.3211491       -0.41435862         0.33982137      -0.002473492     -0.08881418          0.17739187            -0.062298745      132            14.868821         14.868821   1.2397661      1.0    
  39.2049175759203     43.019726911400866   340147876403890048   142.63649461447096   -15.783808561081125   1.9875402151281687   0.20543678323187944    0.7580413178780967      0.23074531624314312    -5.642921215620784    0.22144887453291642    -0.39771533    0.6449398          -0.013876995    0.21942404      -0.53080344         -0.10057066     0.053013917      0.21069701           0.3893886             0.11060282        134            17.284796         17.284796   2.1731968      0.9    
