# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Mon Nov 26 12:34:44 CET 2018
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: you choose not to include the TP-AGB phase!
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Evans et al. 2018)
# Attention: photometry includes extinction of Av=2.
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01520	Y = 0.27554	[M/H] = 0.015	eta_R = 0.200	Age = 	3.9811e+06 yr
#	Includes interstellar extinction of Av = 2.0000 mag
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    G       G_BP    G_RP    B_T     V_T     J       H       Ks	int_IMF	stage
	0.015200	6.6000	0.30000001	0.3000	-1.0470	3.4865	3.8602	7.388	9.865	12.264	8.564	14.385	12.325	6.018	5.193	4.795	2.54750419	0
	0.015200	6.6000	0.32501012	0.3250	-0.9960	3.4933	3.8713	7.260	9.698	12.026	8.405	14.145	12.083	5.907	5.070	4.681	2.60482264	0
	0.015200	6.6000	0.34999999	0.3500	-0.9500	3.4994	3.8816	7.145	9.551	11.823	8.265	13.932	11.874	5.806	4.957	4.577	2.65552020	0
	0.015200	6.6000	0.37051547	0.3705	-0.9144	3.5044	3.8907	7.056	9.437	11.663	8.156	13.764	11.710	5.729	4.870	4.496	2.69298148	0
	0.015200	6.6000	0.40000001	0.4000	-0.8651	3.5113	3.9024	6.933	9.278	11.441	8.005	13.534	11.483	5.623	4.750	4.384	2.74133730	0
	0.015200	6.6000	0.41258278	0.4126	-0.8447	3.5144	3.9079	6.882	9.211	11.346	7.942	13.438	11.385	5.580	4.701	4.338	2.76022506	0
	0.015200	6.6000	0.44999999	0.4500	-0.7850	3.5234	3.9219	6.733	9.015	11.069	7.759	13.160	11.102	5.455	4.559	4.204	2.81098008	0
	0.015200	6.6000	0.46513277	0.4651	-0.7627	3.5270	3.9284	6.677	8.941	10.961	7.690	13.055	10.992	5.409	4.507	4.156	2.82950068	0
	0.015200	6.6000	0.50000000	0.5000	-0.7129	3.5349	3.9415	6.552	8.777	10.726	7.538	12.823	10.754	5.306	4.390	4.047	2.86847806	0
	0.015200	6.6000	0.50183588	0.5018	-0.7103	3.5354	3.9424	6.546	8.768	10.713	7.530	12.810	10.741	5.301	4.385	4.042	2.87040067	0
	0.015200	6.6000	0.52281016	0.5228	-0.6795	3.5407	3.9507	6.469	8.666	10.562	7.436	12.662	10.588	5.238	4.313	3.976	2.89149165	0
	0.015200	6.6000	0.54538715	0.5454	-0.6512	3.5453	3.9592	6.398	8.572	10.428	7.351	12.532	10.452	5.180	4.249	3.916	2.91253090	0
	0.015200	6.6000	0.55000001	0.5500	-0.6455	3.5462	3.9607	6.384	8.553	10.401	7.334	12.507	10.426	5.168	4.235	3.904	2.91663504	0
	0.015200	6.6000	0.57072574	0.5707	-0.6160	3.5515	3.9685	6.310	8.451	10.256	7.242	12.367	10.278	5.110	4.168	3.843	2.93432426	0
	0.015200	6.6000	0.59750795	0.5975	-0.5815	3.5575	3.9781	6.224	8.324	10.091	7.132	12.210	10.109	5.041	4.090	3.772	2.95551515	0
	0.015200	6.6000	0.60000002	0.6000	-0.5786	3.5580	3.9790	6.217	8.313	10.077	7.122	12.197	10.095	5.035	4.083	3.766	2.95739889	0
	0.015200	6.6000	0.60886258	0.6089	-0.5673	3.5602	3.9826	6.188	8.270	10.020	7.085	12.144	10.037	5.012	4.058	3.743	2.96398354	0
	0.015200	6.6000	0.63512671	0.6351	-0.5332	3.5665	3.9919	6.103	8.142	9.853	6.975	11.986	9.867	4.945	3.983	3.675	2.98250675	0
	0.015200	6.6000	0.64999998	0.6500	-0.5159	3.5696	3.9974	6.060	8.077	9.768	6.919	11.906	9.781	4.911	3.944	3.641	2.99236870	0
	0.015200	6.6000	0.67222536	0.6722	-0.4876	3.5749	4.0046	5.989	7.970	9.629	6.828	11.773	9.639	4.855	3.884	3.588	3.00631642	0
	0.015200	6.6000	0.69999999	0.7000	-0.4544	3.5810	4.0136	5.906	7.868	9.462	6.733	11.611	9.474	4.789	3.815	3.526	3.02253795	0
	0.015200	6.6000	0.71478862	0.7148	-0.4158	3.5931	4.0325	5.810	7.738	9.212	6.616	11.355	9.226	4.723	3.753	3.479	3.03067613	0
	0.015200	6.6000	0.75000000	0.7500	-0.3227	3.6222	4.0765	5.577	7.386	8.649	6.319	10.722	8.661	4.563	3.633	3.389	3.04879928	0
	0.015200	6.6000	0.76723355	0.7672	-0.3081	3.6242	4.0798	5.540	7.342	8.593	6.278	10.658	8.605	4.532	3.606	3.363	3.05708075	0
	0.015200	6.6000	0.80000001	0.8000	-0.2775	3.6280	4.0826	5.464	7.249	8.479	6.192	10.530	8.490	4.465	3.546	3.307	3.07187057	0
	0.015200	6.6000	0.81684750	0.8168	-0.2636	3.6299	4.0852	5.429	7.207	8.426	6.153	10.470	8.436	4.435	3.520	3.283	3.07901359	0
	0.015200	6.6000	0.85000002	0.8500	-0.2343	3.6336	4.0880	5.356	7.119	8.318	6.072	10.345	8.328	4.372	3.465	3.231	3.09222293	0
	0.015200	6.6000	0.88957655	0.8896	-0.2016	3.6378	4.0921	5.274	7.020	8.197	5.982	10.204	8.205	4.301	3.405	3.174	3.10667205	0
