# ra                   dec                   source_id             l                    b                     parallax             parallax_error         pmra                   pmra_error             pmdec                pmdec_error            ra_dec_corr     ra_parallax_corr   ra_pmra_corr   ra_pmdec_corr   dec_parallax_corr   dec_pmra_corr   dec_pmdec_corr   parallax_pmra_corr   parallax_pmdec_corr   pmra_pmdec_corr   phot_g_n_obs   phot_g_mean_mag   g           bp_rp        proba  
  109.8749977773061    -15.735028266654114   3031153347888878336   230.09031710670553   -1.090388503044089    0.8945843622465247   0.032690327043537123   0.2576562653684635     0.05147511565710521    5.656359650411407    0.044371878521289945   0.0022767114    0.16496503         0.24331726     0.35411623      0.0866428           0.42927673      0.060435694      0.31188294           -0.1580933            -0.056405         266            15.012268         15.012268   0.90400696   1.0    
  109.89057337532438   -15.620393326098059   3031158879806718720   229.99605140826938   -1.023432874969665    0.9287235297719036   0.03577240494108754    0.3047521543589252     0.05101540087885149    5.650476983267446    0.04909620502648599    -0.055495135    0.11358897         0.12490857     0.33860633      -0.15768078         0.36032414      0.12047601       0.18677375           -0.24233195           -0.047323402      261            15.27576          15.27576    0.9465027    1.0    
  109.9597363491963    -15.729216338473192   3031153897644951936   230.12341211330568   -1.0156115229459273   0.9418464559474589   0.044021638316618594   0.19475803285639082    0.0662072473789976     5.655376462265335    0.05758129692984512    -0.10633619     0.29686674         0.28468582     0.21085286      -0.0067970506       0.2557383       0.04224999       0.38610667           -0.11371329           -0.17678726       271            15.786167         15.786167   1.0521364    1.0    
  109.90557211818671   -15.730068494479182   3031154653559214208   230.09972517273908   -1.0620656747919706   1.0128032114967183   0.042402195307623035   0.553207458947462      0.06931975729975558    5.9180867549350396   0.05881480932066691    0.081189565     0.15952429         0.2853481      0.36779332      0.16104493          0.45822856      0.14751922       0.34612274           -0.1385053            -0.022508735      255            15.671556         15.671556   1.053895     0.9    
  109.73240968608454   -15.745686012966317   3031156749503012352   230.0354713905683    -1.2166497101194929   0.9838437304886211   0.04132702205773753    0.2575754464868245     0.05710876967970144    5.883259807508059    0.057138465355642376   0.41082752      0.5355339          0.49299496     0.4476643       0.43078062          0.45059028      0.5474681        0.416738             0.32573745            0.18447042        231            14.628811         14.628811   0.8315296    1.0    
  109.84326291171311   -15.816448143204854   3031151629902309888   230.14796040752816   -1.1555067377409476   0.953306574030647    0.026095368295016935   0.2667188582882038     0.039632303341230864   5.558005312332011    0.03657018925503348    0.08024276      0.21221872         0.38240182     0.29166335      0.034800272         0.34558997      0.1488768        0.28861833           -0.088753335          -0.002280484      284            14.467768         14.467768   0.80162716   1.0    
  109.81992933821057   -15.614382409927133   3031159459620156416   229.95886571491138   -1.0807278004289196   0.9672167703161485   0.028508927042662772   0.27322118331157497    0.04036693877947241    5.682445536140131    0.03979636857164586    -0.23467176     0.101613           0.0580515      0.25180036      0.03662086          0.3243539       0.061829086      0.21955834           -0.26144832           -0.22710712       232            13.004615         13.004615   0.54369545   1.0    
  109.97938221254229   -15.862005431309504   3031138981216484480   230.24958675846685   -1.0611691006715174   1.044798638487022    0.10127444445762543    0.7559115809333312     0.1595483735502671     5.134422912763673    0.14501990154688896    -0.04272385     0.14822051         0.2743666      0.19452532      -0.007823072        0.22951117      0.092381105      0.24608296           -0.069710486          -0.15319455       293            17.602407         17.602407   1.8868256    0.5    
  109.90552160751514   -15.853546070448404   3031139569634140160   230.20880559701519   -1.1199663653354546   0.8188112855301676   0.024234313954415793   0.12789473104206595    0.034235640543338726   5.785801905787124    0.02985536643867807    0.05395183      0.33393067         0.32154337     0.22216083      0.15067875          0.3203748       0.049846932      0.40647298           -0.03745353           -0.07975514       280            13.882832         13.882832   0.7007656    0.9    
  109.72299139306199   -15.686833819211039   3031157264899070336   229.9792036941385    -1.1971272249299922   0.9436047556049021   0.023372236086387093   0.5098400043478994     0.034066337484428534   5.535073888036605    0.032699668401333835   -0.0024834361   0.053466067        0.2027757      0.2613536       -0.11073696         0.2833829       0.11306653       0.10190663           -0.24739003           -0.0176374        285            14.08446          14.08446    0.84544754   1.0    
